Name,Sex,Bodyweight,Age,Squat,Bench,Deadlift,Total
Ariel Stier,F,60,32,127.5,72.5,150,350
Nicole Bueno,F,60,26,110,60,135,305
Lisa Peterson,F,67.5,28,117.5,67.5,137.5,322.5
Shelby Bandula,F,67.5,26,92.5,67.5,140,300
Lisa Lindhorst,F,67.5,28,92.5,62.5,132.5,287.5
Laura Burnett,F,67.5,30,90,45,107.5,242.5
Suzette Bradley,F,75,38,125,75,157.5,357.5
Norma Romero,F,75,20,92.5,42.5,125,260
Georgia Andrews,F,82.5,29,107.5,52.5,120,280
Christal Bundang,F,90,30,100,55,125,280
Ashleigh Campbell,F,100,30,122.5,60,145,327.5
Julia Gorzei,F,100,28,120,65,122.5,307.5
Marco Zuñiga,M,82.5,24,160,92.5,192.5,445
Nathan Patterson,M,90,31,182.5,187.5,247.5,617.5
Zander Jepsen,M,90,30,177.5,107.5,205,490
David Linares,M,140,27,262.5,165,272.5,700
Roy Doty,M,140,25,230,147.5,245,622.5
Lisa Peterson,F,66.2,29,127.5,67.5,160,355
Laura Burnett,F,67.1,30,102.5,47.5,112.5,262.5
Lauren Davis,F,71.8,25,120,70,155,345
Abigail Clugston,F,70.8,21,117.5,60,152.5,330
Francesca Burke,F,74.3,40,115,57.5,145,317.5
Melly Ramos,F,81.9,20,177.5,65,195,437.5
Mary Portwood,F,80.1,35,165,87.5,160,412.5
Adriana Lopez Torres,F,114.6,25,115,55,110,280
Cliff Suzuki,M,58.6,66,100,55,150,305
Adnan Rana,M,67.1,23,160,102.5,187.5,450
Travis Tenorio,M,74.8,28,170,117.5,210,497.5
Alex Ta Le,M,79.7,24,165,120,200,485
Anthony Reyes,M,79.3,26,215,147.5,95,457.5
Maxwell Babicz,M,81,27,125,92.5,182.5,400
Jack Hong,M,88.6,28,207.5,152.5,250,610
Stephen Baum,M,87.1,24,155,102.5,207.5,465
Joel Garcia,M,100,29,232.5,155,272.5,660
Nima Harirchian,M,132.8,25,187.5,122.5,247.5,557.5
Jennifer Genato,F,43.82,32,110,57.5,145,312.5
Maketa Daniels,F,64.95,25,127.5,60,150,337.5
Hillary Bowers,F,66.68,41,75,47.5,112.5,235
Abigail Clugston,F,73.03,22,127.5,65,150,342.5
Lisa Peterson,F,72.85,29,142.5,70,167.5,380
Francesca Burke,F,74.84,40,130,60,147.5,337.5
Tracy Burman,F,81.01,40,137.5,70,145,352.5
Jenelle Jayubo,F,89.63,22,167.5,67.5,182.5,417.5
Tiffany Rifighi,F,89.81,33,122.5,65,145,332.5
Amy Walsh,F,90.63,32,82.5,40,115,237.5
Christian Lopez,M,57.42,26,105,67.5,110,282.5
Nick Falcon,M,66.59,35,142.5,107.5,177.5,427.5
Carlito Bareng,M,67.13,39,192.5,125,215,532.5
Ryan Brown #4,M,71.12,27,180,120,205,505
Rohan Sakalkale,M,82.1,22,160,112.5,185,457.5
Gabriel Pena-Ramos,M,85.46,24,202.5,130,250,582.5
Alan Zuniga,M,88.36,24,167.5,125,192.5,485
Eric Seager,M,105.32,41,172.5,97.5,190,460
Aysha Pal,F,59.5,28,105,75,127.5,307.5
Ana Baker,F,65.7,29,110,82.5,147.5,340
Shirley Negron,F,66.7,40,110,62.5,152.5,325
Abigail Clugston,F,66.5,21,105,57.5,137.5,300
Sheryl Soo,F,65.6,27,105,55,120,280
Laura Burnett,F,66.8,30,95,45,112.5,252.5
Sarah Fausto,F,74.2,25,127.5,80,147.5,355
Cecilia Cisar,F,70.5,24,105,52.5,155,312.5
Stephanie Cuaresma,F,74.3,26,110,45,120,275
Tracy Burman,F,81.5,39,100,60,110,270
Amir Rana,M,66.4,25,160,95,185,440
Anthony Miu,M,73.2,29,165,117.5,202.5,485
Travis Tenorio,M,74.4,28,152.5,117.5,212.5,482.5
John Adam Strugis,M,73.2,26,132.5,117.5,227.5,477.5
Laszlo Tallai,M,81,30,220,155,250,625
Marco Zuñiga,M,81.1,24,170,107.5,205,482.5
Luis Virrueta,M,81.9,20,145,95,182.5,422.5
Nathan Patterson,M,88.8,31,175,180,232.5,587.5
Indivar Singh,M,88.4,26,210,132.5,217.5,560
Naveen Kolagtla,M,86,29,135,80,175,390
Samuel Taylor,M,107.5,30,205,147.5,250,602.5
Ian Strand,M,193.1,31,305,182.5,260,747.5
Matt Slate,M,130.5,37,250,202.5,250,702.5
David Linares,M,145.6,27,262.5,157.5,272.5,692.5
Donovan Trombley,M,82.1,24,136.08,79.38,174.63,390.09
Julie Weiss,F,55.47,37,125,62.5,137.5,325
Asuba Alley-Barnes,F,57.33,30,111,65,147.5,323.5
Glenys Ramirez,F,59.92,28,85,52.5,100,237.5
Camille Curto,F,67.31,38,148.5,87.5,177.5,413.5
Jessi Allen-Garbaldi,F,67.31,30,92.5,50,145,287.5
Sachie DuBose,F,69.49,18,147.5,73,190.5,411
Monica Rosales,F,73.57,29,92.5,57.5,125,275
Yvonne Von Stiphout,F,81.69,32,130,70,170,370
Katie Ruehle,F,82.05,33,130,75,135,340
Kari Kraus,F,122.83,30,145,95,180,420
Bryan Jackson,M,80.6,39,155,107.5,202.5,465
Jeff Torch,M,89.22,32,195,130,245,570
James Sprinkle,M,89.58,46,150,115,228,493
Gary Kulik,M,88.86,24,95,90,182.5,367.5
Brian Benshoof,M,105.55,35,270,165,267.5,702.5
Kelli Fagan,F,69.3,37,167.5,85,190,442.5
Jesse Akister,F,71.3,33,157.5,95,173.5,426
Darlene Phan,F,80.1,32,157.5,85,175,417.5
Ross Rickards,M,68.5,43,222.5,132.5,245,600
Deamo Baguga,M,82.8,32,270,155,320,745
Weibin He,M,104,33,302.5,205,300,807.5
Jose Cue,M,101.7,34,200,140,245,585
Jiachen Yang,M,107.9,23,260,155,250,665
Anthony Krznar,M,118.6,24,322.5,195,335,852.5
Jezza Uepa,M,178,38,425,272,320,1017
Hai Di,F,65.59,27,152.5,82.5,165,400
Tierra Tucker,F,74.93,29,152.5,87.5,130,370
Chelsea Sprigue,F,53.16,28,107.5,62.5,142.5,312.5
Martina Gomes,F,74.62,34,70,45,125,240
Espinosa Mona,F,76.29,36,92.5,77.5,137.5,307.5
Shaundretta Wood,F,126.96,43,115,70,160,345
Megan Sady,F,73.71,37,62.5,52.5,62.5,177.5
Shaundra Wood,F,119.66,34,115,67.5,167.5,350
Jessica Merrit,F,59.1,39,90,52.5,125,267.5
Auston Carlson,M,88.31,29,187.5,122.5,200,510
Brett Roserlow,M,133.17,29,195,132.5,227.5,555
Trista Hutching,F,66.22,27,122.5,57.5,152.5,332.5
Dan Jered,M,78.56,29,170,125,200,495
Jen Zak,F,63.96,41.5,75,50,110,235
Ben Zak,M,67.04,48.5,117.5,95,155,367.5
David Sobota,M,88.63,36,192.5,115,217.5,525
Marrisa Ramirez,F,47.63,35,67.5,40,87.5,195
Jeanne Liu,F,46.95,25,100,37.5,120,257.5
Tiffany Lee,F,111.13,34.5,97.5,60,130,287.5
Roger Yohn,M,107.5,29,192.5,167.5,240,600
Jos Moresi,M,74.39,20,132.5,85,167.5,385
Gary Teeter,M,55.79,54,82.5,110,127.5,320
William Waller,M,84.82,47,277.5,160,282.5,720
Hope Weaver,F,51.71,17,60,50,102.5,212.5
Shea Herbstritt,F,58.06,31,80,50,95,225
Avery Konzel,F,57.7,14,62.5,32.5,85,180
Jane Bickel,F,61.96,57,72.5,40,107.5,220
Katie Lloyd,F,104.42,32,92.5,35,142.5,270
Michael Kuhns,M,59.87,33,232.5,137.5,165,535
Corey McLaughlin,M,65.77,23,127.5,125,175,427.5
Victor Shaffer,M,66.22,69,82.5,77.5,177.5,337.5
Noah Cline,M,74.39,21,205,142.5,260,607.5
Isaiah Gordon,M,73.48,20,167.5,122.5,205,495
John Welch #1,M,72.12,73,110,92.5,170,372.5
Curtis Miller #2,M,81.19,33,160,150,255,565
Shawn Shuck,M,81.42,32,192.5,165,205,562.5
Ethan Qualters,M,81.19,22,165,122.5,192.5,480
Don Swingle,M,81.65,72,107.5,77.5,172.5,357.5
Joe Braca,M,86.64,56,227.5,125,290,642.5
Don Kuhns,M,89.81,66,192.5,120,192.5,505
Andrew Herbstritt,M,87.09,34,170,112.5,182.5,465
David Machmer,M,86.64,51,162.5,112.5,165,440
Joseph Bowen,M,86.86,36,125,90,155,370
Nicholas Sciullo,M,88.22,23,92.5,55,115,262.5
Brian Karakaedoes,M,107.05,27,227.5,142.5,275,645
Jack Butler,M,108.75,46,180,170,205,555
Don Wilson,M,109.88,50,182.5,152.5,197.5,532.5
Ron Lobb,M,109.09,55,190,117.5,217.5,525
Brant Givler,M,104.78,55,150,140,182.5,472.5
Rob Eckhart,M,122.02,46,227.5,200,272.5,700
Jason Konzel,M,114.76,39,182.5,100,210,492.5
Mark Fleming,M,116,27,202.5,145,242.5,590
Nicholas Gorden,M,90,29,165,125,185,475
Kristyn Kocsis,F,55,26,95,45,112.5,252.5
Jaron Neumann,M,79.9,24,167.5,135,207.5,510
Keri Davis,F,50.9,28,97.5,52.5,122.5,272.5
Jennifer Waldron,F,50.3,45,80,47.5,115,242.5
Janet Huntley,F,51.6,57,67.5,47.5,105,220
Hope Weaver,F,49.8,17,60,47.5,95,202.5
Bernie O'Mahony,F,51.3,50,50,32.5,105,187.5
Natasha Beasley,F,55.2,36,97.5,77.5,165,340
Laura Siegle,F,53.6,28,95,52.5,147.5,295
Laura Scully,F,53.8,32,92.5,57.5,130,280
Daniella Means,F,59.4,28,142.5,80,175,397.5
Sandra Burke,F,56.6,42,115,60,173,348
Cynthia Weindorf,F,57.7,31,72.5,50,105,227.5
Andrea Melito,F,66.7,27,145.5,75,160,380.5
Erin Matheson,F,64.4,27,117.5,67.5,167.5,352.5
LaKeisha Kanen,F,64.4,43,107.5,65,142.5,315
Catherine Evans,F,64.5,42,100,60,125,285
Laura Clancy,F,64.5,53,107.5,62.5,105,275
Holly Hamilton,F,66,30,87.5,57.5,130,275
Emily Karl,F,74.9,30,137.5,67.5,167.5,372.5
Maria Rojas,F,70.9,28,137.5,80,142.5,360
Eileen Gorry,F,70.6,44,125,82.5,150,357.5
Mona Espinosa,F,72.1,37,95,75,130,300
Cluadia Helmick,F,73.3,56,82.5,65,128.5,276
Jenn Tillett,F,71.6,50,70,55,117.5,242.5
Nelda Newton,F,74,56,62.5,45,107.5,215
Linda Odum,F,72.9,72,65,32.5,110,207.5
Michelle Hutt,F,73.3,48,35,35,77.5,147.5
Heather Juachon,F,81.4,39,137.5,62.5,150,350
Brittany Turner,F,79.1,27,115,65,137.5,317.5
Clodagh Higgins,F,80.3,45,50,65,80,195
Riki Napiorkowski,F,85.9,30,160,107.5,195,462.5
Tara Steadman,F,85,31,150,107.5,160,417.5
Michelle Lawson,F,88.9,48,112.5,55,130,297.5
Erin Rayle,F,87.7,34,95,50,115,260
Karen Hansen,F,87.1,70,72.5,57.5,120,250
Sarah Heminger,F,106.5,41,182.5,92.5,172.5,447.5
Sharalee Bustamante,F,111.8,30,182.5,72.5,165,420
Rebecca Tucker,F,94.8,35,147.5,90,177.5,415
Lindsey Field,F,120.5,18,142.5,62.5,172.5,377.5
Aislinn Kelly,F,106.7,26,140,60,170,370
Sarah May Hamilton,F,126.8,35,115,75,127.5,317.5
Rachel Sadler,F,94.3,35,80,52.5,125,257.5
Celeste Linthicum,F,130.1,52,65,50,107.5,222.5
Buck Ammons,M,54.7,19,100,60,140,300
Kevin Smith #2,M,58.9,33,95,92.5,175,362.5
Adam Silverman,M,65.7,24,167.5,115,230,512.5
Dillon Childs,M,66.4,24,185,105,185,475
Michael Coyle,M,66.9,35,157.5,127.5,165,450
Tony Conyers,M,74.3,60,235,175,277.5,687.5
Remi Fredericks,M,72,33,200,125,280.5,605.5
Alex Saretsky,M,68.1,29,200,137.5,215,552.5
Rich Smith,M,72.6,25,182.5,122.5,240,545
Devin Coleman,M,71.8,22,160,130,210,500
Alex Smale,M,73.8,34,147.5,120,222.5,490
Mark Dutton,M,75,16,167.5,80,230,477.5
Tristan Jacobs,M,72.7,35,145,110,202.5,457.5
Michael Frey,M,73.8,59,140,115,150,405
Taggart Duburiya,M,80.8,26,272.5,185,275,732.5
Jose Rivera,M,81.2,31,230,160,280,670
Brandon Russell,M,81.9,31,205,182.5,260,647.5
Kareem McMurrin,M,77.6,34,182.5,177.5,240,600
Jermain Collins,M,80.8,36,202.5,127.5,255,585
Jason Ho Wan,M,80.2,17,222.5,107.5,256,586
Ryan Sherbondy,M,81.5,24,212.5,125,230,567.5
Brian McIntyre,M,82,46,177.5,132.5,205,515
Ari Kutin,M,78.8,15,165,92.5,215,472.5
Robert Nichols,M,81.4,75,115,97.5,185,397.5
James Logston,M,80.7,37,115,90,157.5,362.5
Larry Nash,M,78,59,160,127.5,50,337.5
Yogi Sumner,M,79.7,68,70,82.5,122.5,275
Jesse Ronland,M,89.6,34,250,193,280,723
Victor Akpawan,M,84.3,30,252.5,167.5,287.5,707.5
Aaron Pickrell,M,86.7,49,185,135,242.5,562.5
Robert Powell,M,87,24,202.5,137.5,215,555
Fabrizio Marini,M,89.2,43,195,132.5,225,552.5
David Sobota,M,88.2,36,190,112.5,215,517.5
Patrick Huntley,M,89.4,52,190,120,207.5,517.5
Nicholas Grady,M,88,27,190,130,180,500
David Zavadil,M,88.4,54,170,80,200,450
Shubham Singh,M,85.4,24,135,130,170,435
Bruce Knox,M,99.1,31,260,175,292.5,727.5
Quinton Reed,M,97.7,22,260,147.5,287.5,695
David Pignaloso,M,97.6,38,245,170,265,680
Andy Murtagh,M,91.9,52,210,145,300,655
Gene Santomartino,M,99.1,54,230,157.5,262.5,650
Adam Perry,M,95.7,27,212.5,172.5,257.5,642.5
Ryan Massey,M,95,44,232.5,142.5,262.5,637.5
Andy Kenna,M,97.9,37,190,137.5,215,542.5
Nick Schneider,M,93,31,187.5,125,227.5,540
Michael Eaton,M,108.1,42,285,190,365,840
Joash Teabuge,M,106.1,33,295,177.5,300,772.5
Chesleigh Denison,M,109.5,30,255,162.5,282.5,700
Jason Wharton,M,106.3,47,220,145,240,605
Ed Kutin,M,106.1,56,200,140,225,565
Ray Berry,M,108.6,58,182.5,155,200,537.5
David Mac Hale,M,104.4,53,165,120,220,505
Frank Ferchland,M,106.1,51,160,140,170,470
Isaac Whistler,M,123.8,18,257.5,177.5,260,695
Brian Germanoski,M,123.9,45,247.5,160,288,695.5
Taylor Matthews,M,120.8,30,257.5,170,262.5,690
Shawn Fante,M,113,33,242.5,175,250,667.5
Austin Poff,M,123.6,24,227.5,142.5,267.5,637.5
Robert Dillingham,M,116,38,200,197.5,237.5,635
Jeff Lawson,M,122.2,54,247.5,102.5,250,600
Gene Berry,M,113.4,60,202.5,155,212.5,570
Matthew Rice,M,131,31,295,152.5,287.5,735
Daniel Corridean,M,132.4,42,262.5,180,267.5,710
Nate Daniels,M,131.8,25,245,160,230,635
Russell Peel,M,155.7,39,265,200,280,745
Robert Gains,M,145.8,56,227.5,190,250,667.5
Baron Dixon,M,140.5,53,185,147.5,272.5,605
Laura Siegle,F,53.07,27,85,47.5,135,267.5
Tricia Floyd,F,66.41,37,117.5,57.5,200,375
Tierra Tucker,F,74.3,28,142.5,87.5,145,375
Brittany Turner,F,73.98,68,105,60,132.5,297.5
Hope Lancaster,F,106,25,140,62.5,137.5,340
